GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpAnual,grupo2.tpAnual.Procesos.ManejoDeErroresProcesos,EnviarMailFalloProceso,11,11,2,0,3,3,2,1,1,1
tpAnual,grupo2.tpAnual.Procesos.ManejoDeErroresProcesos,ReintentarEjecucionProceso,23,0,4,0,9,0,4,0,2,0
tpAnual,grupo2.tpAnual.Reportes,PorTerminalOUsuario,29,11,2,0,5,4,2,2,1,2
tpAnual,grupo2.tpAnual.Reportes,PorBusquedaPorFecha,13,52,1,3,1,12,1,3,0,2
tpAnual,grupo2.tpAnual.OrigenesDeDatos,OrigenesDeDatosPOIsMemory,0,51,0,0,0,12,0,7,0,7
tpAnual,grupo2.tpAnual.OrigenesDeDatos,Decorator,0,6,0,0,0,3,0,1,0,1
tpAnual,grupo2.tpAnual.OrigenesDeDatos,OrigenesDeDatosBancoExterno,0,77,0,0,0,15,0,4,0,4
tpAnual,grupo2.tpAnual.OrigenesDeDatos,OrigenesDeDatosBancosConRedis,6,92,0,2,2,17,0,5,0,4
tpAnual,grupo2.tpAnual.OrigenesDeDatos,OrigenesDeDatosPOIsSQL,0,97,0,0,0,24,0,6,0,6
tpAnual,grupo2.tpAnual.OrigenesDeDatos,OrigenesDeDatosCentroDTO,0,76,0,0,0,17,0,5,0,5
tpAnual,grupo2.tpAnual.OrigenesDeDatos,OrigenesDeDatos,0,3,0,0,0,1,0,1,0,1
tpAnual,grupo2.tpAnual.OrigenesDeDatos,OrigenesDeDatosPOIs,0,3,0,0,0,1,0,1,0,1
tpAnual,grupo2.tpAnual.Repositorios,DatosBusquedaRepositoryMemory,17,46,0,0,1,8,2,7,2,7
tpAnual,grupo2.tpAnual.Repositorios,DatosBusquedaRepositoryMongoDB,60,0,0,0,11,0,8,0,8,0
tpAnual,grupo2.tpAnual.Repositorios,Usuario,9,37,0,0,3,14,2,8,2,8
tpAnual,grupo2.tpAnual.Repositorios,MemoryUserRepository,26,17,2,0,3,5,4,3,3,3
tpAnual,grupo2.tpAnual.Repositorios,SQLUserRepository,23,56,0,0,5,17,1,4,1,4
tpAnual,grupo2.tpAnual.Repositorios,DatosDeBusqueda,6,40,0,0,2,13,2,5,2,5
tpAnual,grupo2.tpAnual.Pois,POI,10,69,1,3,4,23,3,15,2,14
tpAnual,grupo2.tpAnual.Pois,Banco,31,88,2,0,9,11,7,4,6,4
tpAnual,grupo2.tpAnual.Pois,CGP,10,75,1,7,3,15,3,9,2,6
tpAnual,grupo2.tpAnual.Pois,Parada,21,8,2,0,4,3,5,1,4,1
tpAnual,grupo2.tpAnual.Pois,Comercio,49,25,2,0,14,6,9,2,8,2
tpAnual,ServiciosExternos,CentroDTO,9,18,0,0,3,7,3,4,3,4
tpAnual,grupo2.tpAnual.Observers,ObserverBusqueda,0,3,0,0,0,1,0,1,0,1
tpAnual,grupo2.tpAnual.Observers,EnviarMailBusqueda,0,29,1,1,0,9,1,2,0,2
tpAnual,grupo2.tpAnual.Observers,NotificarDatosBusqueda,0,19,0,0,0,7,0,3,0,3
tpAnual,grupo2.tpAnual.Procesos,ActualizacionLocalesComerciales,0,82,1,3,0,13,1,5,0,4
tpAnual,grupo2.tpAnual.Procesos,CriterioTodos,0,11,0,0,0,4,0,3,0,3
tpAnual,grupo2.tpAnual.Procesos,CriterioSeleccionFija,0,21,0,0,0,7,0,4,0,4
tpAnual,grupo2.tpAnual.Procesos,RestServiceBajaPois,0,29,0,0,0,7,0,2,0,2
tpAnual,grupo2.tpAnual.Procesos,CriterioComuna,5,42,0,2,2,8,1,5,1,4
tpAnual,grupo2.tpAnual.Procesos,Proceso,38,70,0,0,10,22,7,7,7,7
tpAnual,grupo2.tpAnual.Procesos,BajaDePois,3,87,0,2,2,17,0,6,0,5
tpAnual,grupo2.tpAnual.Procesos,Cron,17,0,0,0,7,0,3,0,3,0
tpAnual,grupo2.tpAnual.Procesos,DatosParaLogEjecucionProcesos,0,15,0,0,0,6,0,1,0,1
tpAnual,grupo2.tpAnual.Procesos,LogProcesosRepository,0,17,0,0,0,6,0,3,0,3
tpAnual,grupo2.tpAnual.Procesos,AsignacionDeAccionesParaUsuarios,21,80,0,2,7,16,5,4,5,3
tpAnual,grupo2.tpAnual,FromJsonToMap,3,20,0,0,1,3,1,2,1,2
tpAnual,grupo2.tpAnual,ConverterPoint,16,20,0,0,2,4,1,2,1,2
tpAnual,grupo2.tpAnual,LocalDateAttributeConverter,17,0,4,0,3,0,5,0,3,0
tpAnual,grupo2.tpAnual,MorphiaService,36,0,0,0,12,0,5,0,5,0
tpAnual,grupo2.tpAnual,Mapa,14,80,0,0,4,19,4,4,4,4
tpAnual,grupo2.tpAnual.AccesoriosPois,Rango,6,35,0,6,2,7,2,6,2,3
tpAnual,grupo2.tpAnual.AccesoriosPois,Rubro,29,0,0,0,11,0,8,0,8,0
tpAnual,grupo2.tpAnual.AccesoriosPois,Disponibilidad,10,45,0,0,4,12,2,3,2,3
tpAnual,grupo2.tpAnual.AccesoriosPois,Direccion,3,15,0,0,1,6,1,3,1,3
tpAnual,grupo2.tpAnual.AccesoriosPois,Servicio,20,30,0,0,8,9,5,4,5,4
tpAnual,grupo2.tpAnual.AccesoriosPois,Comuna,21,20,0,0,5,6,3,2,3,2
tpAnual,grupo2.tpAnual.helpers,MapExtensions,17,0,0,0,6,0,2,0,2,0
